,word,x0,x1
0,,0.020612547,0.0041727126
1,[UNK],-0.02171583,-5.3946427e-05
2,trump,0.94109833,-0.011387165
3,video,-0.23838218,0.01758994
4,to,0.5675743,-0.00033847796
5,the,0.49342206,0.054343645
6,us,0.29401696,0.024479356
7,for,-0.06526517,0.030275553
8,of,0.27758813,-0.026144879
9,in,0.18807954,0.048080795
10,says,-0.011915983,-0.008089188
11,on,-0.120171495,2.5181138e-05
12,a,-0.18697423,0.041670475
13,and,0.13284731,-0.0020737436
14,is,0.036483694,-0.025202874
15,obama,0.619308,-0.04857567
16,with,0.14138724,0.005988317
17,watch,0.20587921,0.017111206
18,house,0.33203396,-0.005530336
19,hillary,-0.18347152,0.009593384
20,new,-0.10843866,0.026344381
21,after,0.082524925,0.019978587
22,about,-0.63396454,-0.011124322
23,his,0.45471224,-0.00083324814
24,clinton,0.43060613,0.0176461
25,president,0.19430208,-0.0052642613
26,white,0.68440056,-0.038045116
27,trump’s,-0.5527841,-0.059915595
28,just,0.06441089,-0.018097386
29,at,0.21647446,-0.05249964
30,by,0.16106795,0.057433438
31,bill,0.1085635,0.019027134
32,from,-0.12661353,-0.014086657
33,this,0.2460696,-0.04601537
34,state,-0.13180074,0.027413419
35,russia,0.34598145,0.027457582
36,who,-0.044706896,-0.06221703
37,he,0.21086392,0.03180813
38,out,-0.48413998,0.01201154
39,republican,0.6858703,0.031327505
40,it,-0.8027976,0.030136222
41,north,0.36502194,-0.011579561
42,over,0.40870154,0.04826402
43,court,0.2302065,-0.00900417
44,her,0.8097097,0.03319562
45,senate,0.18141931,-0.018570445
46,election,0.37722963,0.01159382
47,are,-0.05559593,-0.07286059
48,as,0.03872428,0.012923149
49,him,-0.65666395,0.005934654
50,will,-0.037839513,-0.072871834
51,donald,0.07877386,-0.09190092
52,how,0.13215616,-0.034250483
53,not,-0.20544553,0.023653153
54,korea,0.05333779,-0.019838981
55,why,0.043718595,-0.031644963
56,that,0.072912514,-0.061835673
57,calls,0.22044834,0.08397694
58,breaking,0.15427141,0.048789006
59,vote,-0.11258445,-0.0059964424
60,news,-0.015500755,0.05083722
61,media,0.06666871,0.0036030302
62,police,-0.059277035,-0.051066432
63,black,-0.12946281,0.04793421
64,be,-0.7548931,-0.08759728
65,republicans,0.6157932,0.0023208004
66,tax,0.2933479,0.0049353233
67,campaign,-0.4123962,-0.04334014
68,–,-0.11211605,0.047277734
69,you,-0.06264573,0.026264861
70,muslim,0.4881809,0.010622704
71,gop,-0.29322672,0.03415623
72,was,0.15136825,-0.025328465
73,trumps,0.30856442,0.018943133
74,may,0.4064637,0.07788263
75,has,0.18858524,-0.0002503657
76,one,-0.69946206,0.045885354
77,china,-0.2746856,-0.044101235
78,up,-0.057370882,0.038994916
79,deal,0.15513751,0.013388502
80,obama’s,-0.14174035,-0.04331554
81,democrats,0.022892015,0.03953324
82,gets,-0.26084393,-0.10545485
83,what,2.4189146,-0.06375277
84,former,-0.06633062,0.017590174
85,back,0.08793056,0.04778668
86,tweets,-0.10359158,0.038251597
87,iran,-0.07514184,0.030204756
88,government,0.25524816,-0.031076059
89,down,-0.2247661,0.059713203
90,first,-0.047587726,-0.0069939806
91,fbi,0.035050415,0.0021597191
92,party,-0.2454508,-0.0051343916
93,eu,-0.06500416,0.030126765
94,attack,-0.084605604,0.053848546
95,un,-0.10988511,0.0034934443
96,people,0.32309645,0.011681601
97,talks,0.16698225,0.022553744
98,security,0.6820015,0.037055906
99,russian,0.6255669,-0.0053848685
100,pm,-0.44945666,-0.054383703
101,chief,0.4314735,-0.028029518
102,america,-0.47722015,0.0011944112
103,cnn,-0.15374188,-0.04023315
104,congress,-0.10257868,-0.042203534
105,against,0.101187065,-0.036647495
106,fox,-0.48928756,-0.020706676
107,have,1.1728712,-0.05109847
108,top,0.20643348,-0.025109142
109,syria,0.096339606,0.010967844
110,senator,-0.048857976,0.023960395
111,plan,-0.5847697,-0.00428786
112,no,0.06764698,-0.049786843
113,twitter,-0.062106796,-0.057670623
114,leader,0.5779466,0.008326034
115,tells,1.1652144,-0.0054503423
116,judge,-0.18533754,-0.016480241
117,war,-0.04777184,0.027561221
118,speech,1.0189481,-0.051734366
119,democrat,1.2434446,-0.023819692
120,they,0.098908186,0.017406963
121,ban,0.025095886,-0.049610537
122,law,-0.1901618,0.027590863
123,their,-0.18160164,0.014329097
124,man,-0.35406065,-0.06481606
125,during,0.26549292,0.037434526
126,could,0.11962411,-0.027188776
127,she,-0.21472897,0.043068636
128,minister,-0.20252927,-0.034169257
129,military,0.21196726,0.0068667945
130,it’s,0.32247534,-0.026445167
131,brexit,-0.115118325,-0.029654711
132,say,0.8753065,0.002290346
133,sanders,0.000829039,-0.03589248
134,million,0.11820782,0.059151337
135,shows,0.034283705,-0.040637203
136,makes,0.13892365,0.022475423
137,make,0.24070315,0.026666258
138,would,-0.13380964,-0.0060135256
139,probe,-0.46314803,-0.022125678
140,south,0.04472416,0.00985054
141,more,0.2108451,-0.0076447306
142,report,-0.079008006,-0.005512782
143,racist,-0.15323408,0.027077623
144,when,0.5558841,0.009378858
145,supreme,0.34011945,-0.015916158
146,liberal,-0.0050726524,0.014353435
147,get,0.34635612,-0.0015732389
148,tweet,0.032154504,0.01903078
149,two,-0.22295935,-0.054443184
150,if,0.04678198,-0.022506358
151,border,0.29105413,-0.075064495
152,americans,-0.13657948,-0.028050492
153,like,0.16955815,0.028612094
154,hillary’s,-0.11889689,-0.08608639
155,factbox,-0.37105808,0.056288637
156,governor,-0.06748509,0.048467815
157,foreign,0.1559535,0.031402774
158,goes,0.17032115,0.038953535
159,cruz,0.02649645,0.014660983
160,into,0.0884514,-0.052273702
161,take,-0.09961362,0.038751513
162,official,-0.076693185,-0.004226177
163,nuclear,-0.13094881,0.020314462
164,american,-0.33148012,0.011507169
165,support,-0.0026392732,0.026886709
166,presidential,-0.33895725,-0.02278919
167,host,0.13395216,-0.027496444
168,healthcare,-0.065043375,0.09995202
169,gun,-0.028049719,-0.001481545
170,woman,-0.22652218,-0.055446953
171,wants,0.19162586,0.048299655
172,an,-0.124490134,-0.027070805
173,islamic,-0.20590778,0.016009139
174,day,-0.49088433,-0.03448369
175,sanctions,-0.07878019,0.033158302
176,political,-0.35722727,-0.04224937
177,all,-0.03011977,-0.010811501
178,putin,0.52118313,0.08320268
179,obamacare,-0.1753891,0.007183107
180,rights,0.749752,0.017921358
181,illegal,-0.48831332,0.013365752
182,wow,0.20485139,0.03985751
183,poll,0.122583225,0.0032324158
184,attacks,0.036555246,-0.066385135
185,urges,-0.214571,-0.013962021
186,them,0.79973394,0.058958545
187,fight,0.27138096,-0.032440443
188,being,-0.21534707,-0.030136127
189,want,0.040450063,-0.010094078
190,debate,0.10531684,0.008997748
191,show,0.42294356,0.00345588
192,uk,-0.31593433,0.0006269224
193,rally,-0.025942596,-0.031842988
194,next,-0.6710725,-0.020866219
195,women,0.18101133,-0.04503903
196,bernie,-0.38481987,0.03074814
197,time,0.06690412,0.054085955
198,supporters,-0.44161054,-0.03206243
199,our,0.10530918,0.025577363
200,off,-0.16362971,-0.02795381
201,he’s,-0.011031124,-0.00763735
202,go,-0.017182069,0.0028154855
203,ryan,0.21492843,-0.053629186
204,national,0.03398145,0.005347702
205,german,0.16210249,-0.07761085
206,race,-0.2636001,0.0056616766
207,syrian,0.07684958,-0.03368262
208,meet,0.048882935,-0.004088244
209,response,-0.23041643,0.10069816
210,must,0.028799182,-0.032075614
211,help,0.16240981,-0.03006723
212,crisis,-0.21007533,0.0021981117
213,call,0.024264114,0.00012872367
214,leaders,-0.04609513,7.448999e-05
215,don’t,0.3485323,0.007128073
216,meeting,0.018071292,-0.021515878
217,trade,-0.1110037,-0.0003537028
218,see,-0.03019838,0.013291699
219,policy,-0.014088369,0.0012118933
220,claims,-0.4373106,0.026217075
221,won’t,-0.8182402,-0.021402577
222,visit,0.06428599,-0.011500849
223,school,0.45978624,0.031105407
224,lawmakers,0.23426309,0.00011126592
225,can,-0.005385868,0.008385613
226,budget,-0.18660493,-0.026369225
227,stop,-0.120338544,0.052794244
228,states,0.061681196,-0.020205354
229,so,-0.030107867,-0.008964873
230,mexico,-0.91151214,0.038622353
